'Bits 1 to 43 of 202 Informations bits';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'1 t0 43 of 154 bits Main Field';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'TAC Number';;;;;;;;;;;;;;;;'Serial Number';;;;;;;;;;;;;;'Country Code ';;;;;;;;;;'Homing ';'RLS';'Test ';
' (16 bits)';;;;;;;;;;;;;;;;' (14 bits) ';;;;;;;;;;;;;;'(10 bits)';;;;;;;;;;;;;
' (Part of 23 HEX ID)';;;;;;;;;;;;;;;;'Part of 23 HEX ID)';;;;;;;;;;;;;;'Part of 23 HEX ID';;;;;;;;;;'Status';' Function';'Protocol';
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;2;3;4;5;6;7;8;9;10;11;;;45;'23 HEX ID bit numbers'
